78
244

1	2	35
1	3	34
1	4	36
1	5	33
1	6	37
2	7	32
2	8	38
2	9	31
2	10	39
3	10	30
4	7	40
4	8	29
4	10	41
5	7	28
5	8	42
5	9	27
6	7	43
6	8	26
6	9	44
6	10	25
7	11	45
7	12	24
7	13	46
7	14	23
7	15	47
7	16	22
8	11	48
8	13	21
8	14	49
8	16	20
9	11	50
9	12	19
9	13	51
9	14	18
9	15	52
9	16	34
10	11	36
10	12	33
10	13	37
10	14	32
10	15	38
10	16	31
11	18	39
11	19	30
12	18	40
13	17	29
13	18	41
14	17	28
14	18	42
14	19	27
15	18	43
16	17	26
16	18	44
16	19	25
17	20	45
17	21	24
17	22	46
17	23	23
17	24	47
17	26	22
18	20	48
18	22	21
18	23	49
18	24	20
18	25	50
18	26	19
19	20	51
19	21	18
19	22	52
19	23	34
19	24	36
19	25	33
19	26	37
20	28	32
20	29	38
20	30	31
21	27	39
21	29	30
22	27	40
22	28	29
22	30	41
23	27	28
23	28	42
23	30	27
24	27	43
24	28	26
24	29	44
25	27	25
25	28	45
25	29	24
25	30	46
26	28	23
26	29	47
27	31	22
27	34	48
27	35	21
28	31	49
28	32	20
28	33	50
28	34	19
28	36	51
29	31	18
29	33	52
29	34	34
29	35	36
29	36	33
30	31	37
30	33	32
31	38	38
31	39	31
32	37	39
32	38	30
32	39	40
33	37	29
33	38	41
34	39	28
35	37	42
35	38	27
35	39	43
36	38	26
36	39	44
37	42	25
38	40	45
38	41	24
38	42	46
38	43	23
38	44	47
38	45	22
39	40	48
39	42	21
39	43	49
39	44	20
39	45	50
39	46	19
40	48	51
40	49	18
40	50	52
41	48	34
41	49	36
41	50	33
42	48	37
43	47	32
43	48	38
44	47	31
44	48	39
44	49	30
44	50	40
45	47	29
45	48	41
45	49	28
45	50	42
46	47	27
46	48	43
46	49	26
46	50	44
47	53	25
47	54	45
47	55	24
47	56	46
48	51	23
48	52	47
48	53	22
48	54	48
48	55	21
48	56	49
49	51	20
49	55	50
50	51	19
50	52	51
50	53	18
50	54	52
50	55	34
50	56	36
51	57	33
51	58	37
51	59	32
52	58	38
52	59	31
53	57	39
53	58	30
54	59	40
55	57	29
55	58	41
55	59	28
56	58	42
57	63	27
58	60	43
58	63	26
59	60	44
59	61	25
59	62	45
59	64	24
59	65	46
59	66	23
60	67	47
60	68	22
60	69	48
60	71	21
60	74	49
60	75	20
60	76	50
60	77	19
61	67	51
61	71	18
61	72	52
61	73	34
61	74	36
61	75	33
61	77	37
62	69	32
62	70	38
62	71	31
63	68	39
63	69	30
63	71	40
63	74	29
64	74	41
65	69	28
65	71	42
65	72	27
65	76	43
65	77	26
66	67	44
66	68	25
66	69	45
66	70	24
66	71	46
66	72	23
66	73	47
66	74	22
66	75	48
66	76	21
66	77	49
67	78	20
68	78	50
69	78	19
70	78	51
71	78	18
72	78	52
73	78	34
74	78	36
75	78	33
76	78	37
77	78	35
