[191.0, 219.0, 211.0, 193.0, 338.0, 331.0, 126.0, 282.0, 264.0, 366.0, 373.0, 366.0, 300.0, 126.0, 220.0, 171.0]
[360.0, 347.0, 287.0, 133.0, 322.0, 309.0, 323.0, 180.0, 331.0, 177.0, 287.0, 133.0, 140.0, 155.0, 310.0, 156.0]
[345.0, 258.0, 302.0, 148.0, 337.0, 325.0, 338.0, 171.0, 191.0, 193.0, 348.0, 194.0, 200.0, 215.0, 201.0, 216.0]
[156.0, 300.0, 368.0, 134.0, 323.0, 169.0, 157.0, 319.0, 259.0, 166.0, 371.0, 217.0, 206.0, 301.0, 206.0, 301.0]
[241.0, 323.0, 187.0, 202.0, 142.0, 237.0, 143.0, 324.0, 258.0, 251.0, 179.0, 178.0, 185.0, 279.0, 293.0, 280.0]
[220.0, 302.0, 210.0, 225.0, 245.0, 260.0, 166.0, 328.0, 237.0, 338.0, 202.0, 134.0, 208.0, 303.0, 317.0, 304.0]
[244.0, 326.0, 207.0, 363.0, 134.0, 169.0, 317.0, 237.0, 170.0, 272.0, 340.0, 292.0, 204.0, 352.0, 330.0, 367.0]
[330.0, 330.0, 337.0, 252.0, 192.0, 316.0, 329.0, 237.0, 202.0, 297.0, 294.0, 140.0, 222.0, 198.0, 199.0, 303.0]
[237.0, 126.0, 140.0, 133.0, 134.0, 197.0, 373.0, 225.0, 168.0, 155.0, 169.0, 270.0, 210.0, 367.0, 198.0, 260.0]
[245.0, 346.0, 171.0, 272.0, 347.0, 366.0, 293.0, 160.0, 207.0, 273.0, 331.0, 177.0, 258.0, 273.0, 353.0, 199.0]
[248.0, 374.0, 181.0, 168.0, 357.0, 372.0, 344.0, 251.0, 258.0, 353.0, 297.0, 143.0, 332.0, 226.0, 132.0, 147.0]
[167.0, 329.0, 205.0, 286.0, 281.0, 147.0, 277.0, 185.0, 192.0, 286.0, 300.0, 312.0, 145.0, 306.0, 320.0, 335.0]
[167.0, 262.0, 329.0, 182.0, 365.0, 236.0, 243.0, 162.0, 265.0, 259.0, 221.0, 323.0, 305.0, 292.0, 305.0, 320.0]
[340.0, 248.0, 328.0, 167.0, 350.0, 197.0, 204.0, 305.0, 159.0, 153.0, 227.0, 328.0, 262.0, 255.0, 182.0, 351.0]
[284.0, 278.0, 305.0, 151.0, 271.0, 265.0, 272.0, 373.0, 227.0, 221.0, 250.0, 352.0, 285.0, 279.0, 286.0, 205.0]
[308.0, 301.0, 309.0, 309.0, 291.0, 310.0, 279.0, 131.0, 352.0, 345.0, 339.0, 192.0, 292.0, 144.0, 126.0, 269.0]
[210.0, 366.0, 166.0, 374.0, 301.0, 134.0, 313.0, 168.0, 139.0, 300.0, 163.0, 251.0, 338.0, 295.0, 295.0, 189.0]
[129.0, 366.0, 130.0, 225.0, 359.0, 346.0, 360.0, 126.0, 237.0, 132.0, 145.0, 133.0, 322.0, 337.0, 168.0, 155.0]
[344.0, 190.0, 159.0, 315.0, 255.0, 350.0, 255.0, 270.0, 290.0, 270.0, 328.0, 315.0, 255.0, 270.0, 351.0, 338.0]
[278.0, 373.0, 137.0, 144.0, 278.0, 373.0, 279.0, 294.0, 314.0, 147.0, 327.0, 153.0, 254.0, 349.0, 180.0, 336.0]
[356.0, 371.0, 136.0, 372.0, 257.0, 352.0, 271.0, 372.0, 226.0, 225.0, 294.0, 133.0, 322.0, 168.0, 248.0, 155.0]
[176.0, 190.0, 159.0, 147.0, 211.0, 191.0, 339.0, 191.0, 374.0, 293.0, 317.0, 169.0, 314.0, 191.0, 240.0, 234.0]
[337.0, 269.0, 133.0, 234.0, 235.0, 373.0, 273.0, 374.0, 308.0, 227.0, 146.0, 247.0, 350.0, 349.0, 174.0, 168.0]
[350.0, 203.0, 130.0, 372.0, 373.0, 352.0, 359.0, 353.0, 306.0, 225.0, 374.0, 226.0, 329.0, 261.0, 242.0, 236.0]
[169.0, 271.0, 190.0, 291.0, 212.0, 271.0, 339.0, 192.0, 374.0, 294.0, 148.0, 308.0, 248.0, 155.0, 168.0, 234.0]
[168.0, 269.0, 213.0, 315.0, 235.0, 294.0, 169.0, 184.0, 373.0, 286.0, 236.0, 331.0, 271.0, 178.0, 272.0, 329.0]
[256.0, 351.0, 212.0, 307.0, 314.0, 329.0, 351.0, 366.0, 306.0, 219.0, 374.0, 240.0, 159.0, 153.0, 202.0, 303.0]
[157.0, 181.0, 261.0, 248.0, 202.0, 181.0, 329.0, 182.0, 351.0, 204.0, 352.0, 204.0, 138.0, 306.0, 225.0, 326.0]
[180.0, 262.0, 168.0, 336.0, 270.0, 249.0, 148.0, 250.0, 170.0, 272.0, 126.0, 228.0, 161.0, 311.0, 293.0, 146.0]
[248.0, 322.0, 204.0, 360.0, 293.0, 273.0, 172.0, 273.0, 255.0, 357.0, 176.0, 357.0, 249.0, 243.0, 317.0, 169.0]
